Tue Jun 17 08:49:10 UTC 2025 Starting regionserver on 4fdf0e11b739
core file size          (blocks, -c) 0
2025-06-17T08:49:21,294 INFO  [regionserver/4fdf0e11b739:16020] regionserver.HRegionServer: reportForDuty to master=4fdf0e11b739,16000,1750150153003 with isa=4fdf0e11b739/172.21.0.9:16020, startcode=1750150154692
2025-06-17T08:49:21,588 WARN  [regionserver/4fdf0e11b739:16020] regionserver.HRegionServer: reportForDuty failed; sleeping 3000 ms and then retrying.
2025-06-17T08:49:24,594 INFO  [regionserver/4fdf0e11b739:16020] regionserver.HRegionServer: reportForDuty to master=4fdf0e11b739,16000,1750150153003 with isa=4fdf0e11b739/172.21.0.9:16020, startcode=1750150154692
2025-06-17T08:49:24,667 INFO  [regionserver/4fdf0e11b739:16020] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2025-06-17T08:49:24,797 INFO  [regionserver/4fdf0e11b739:16020] regionserver.MetricsRegionServerWrapperImpl: Computing regionserver metrics every 5000 milliseconds
2025-06-17T08:49:24,844 INFO  [regionserver/4fdf0e11b739:16020] regionserver.MemStoreFlusher: globalMemStoreLimit=1.4 G, globalMemStoreLimitLowMark=1.3 G, Offheap=false
2025-06-17T08:49:24,869 INFO  [regionserver/4fdf0e11b739:16020] throttle.PressureAwareCompactionThroughputController: Compaction throughput configurations, higher bound: 100.00 MB/second, lower bound 50.00 MB/second, off peak: unlimited, tuning period: 60000 ms
2025-06-17T08:49:24,871 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=CompactionThroughputTuner, period=60000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,873 INFO  [regionserver/4fdf0e11b739:16020] regionserver.HRegionServer: CompactionChecker runs every PT10S
2025-06-17T08:49:24,946 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=CompactedHFilesCleaner, period=120000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,953 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=CompactionChecker, period=10000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,954 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=MemstoreFlusherChore, period=10000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,954 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=nonceCleaner, period=360000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,955 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=BrokenStoreFileCleaner, period=21600000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:24,955 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16020,1750150154692-MobFileCleanerChore, period=86400, unit=SECONDS is enabled.
2025-06-17T08:49:24,975 INFO  [regionserver/4fdf0e11b739:16020] regionserver.HeapMemoryManager: Starting, tuneOn=false
2025-06-17T08:49:25,016 INFO  [regionserver/4fdf0e11b739:16020] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16020,1750150154692-HeapMemoryTunerChore, period=60000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:25,021 INFO  [regionserver/4fdf0e11b739:16020] regionserver.ChunkCreator: Allocating data MemStoreChunkPool with chunk size 2 MB, max count 628, initial count 0
2025-06-17T08:49:25,024 INFO  [regionserver/4fdf0e11b739:16020] regionserver.ChunkCreator: Allocating index MemStoreChunkPool with chunk size 204.80 KB, max count 698, initial count 0
2025-06-17T08:49:25,068 INFO  [regionserver/4fdf0e11b739:16020] regionserver.Replication: 4fdf0e11b739,16020,1750150154692 started
2025-06-17T08:49:25,069 INFO  [regionserver/4fdf0e11b739:16020] regionserver.HRegionServer: Serving as 4fdf0e11b739,16020,1750150154692, RpcServer on 4fdf0e11b739/172.21.0.9:16020, sessionid=0x100003774c50002
2025-06-17T08:49:25,081 INFO  [regionserver/4fdf0e11b739:16020] quotas.RegionServerRpcQuotaManager: Quota support disabled
2025-06-17T08:49:25,085 INFO  [regionserver/4fdf0e11b739:16020] quotas.RegionServerSpaceQuotaManager: Quota support disabled, not starting space quota manager.
2025-06-17T08:49:28,130 INFO  [regionserver/4fdf0e11b739:16020] monitor.StreamSlowMonitor: New stream slow monitor defaultMonitorName
